"cnpj_basico","cnae_principal","descricao_cnae","cep","bairro","municipio","municipio_nome","capital_social"
"18219011","469","Desconhecido","9045","MS","67","Desconhecido","0.0"
"18219020","11","Desconhecido","9067","MT","65","Desconhecido","0.0"
"18219035","36","Desconhecido","5207","MG","37","Desconhecido","0.0"
"14803180","179","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18219058","3762","Desconhecido","7563","PR","45","Desconhecido","0.0"
"18219072","100","Desconhecido","4821","MG","31","Desconhecido","0.0"
"18219085","SN","Desconhecido","5765","RS","51","Desconhecido","0.0"
"18219099","445","Desconhecido","7097","SP","17","Desconhecido","0.0"
"18219110","485","Desconhecido","6291","SP","19","Desconhecido","0.0"
"18219118","115","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18219129","970","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18219146","342","Desconhecido","7915","PR","42","Desconhecido","0.0"
"18219159","03","Desconhecido","9701","DF","61","Desconhecido","0.0"
"18219169","689","Desconhecido","1389","CE","88","Desconhecido","0.0"
"18219181","34","Desconhecido","9227","GO","62","Desconhecido","0.0"
"18219193","1156","Desconhecido","4551","MG","38","Desconhecido","0.0"
"18219203","1500","Desconhecido","6969","SP","16","Desconhecido","0.0"
"18219216","287","Desconhecido","4111","MG","32","Desconhecido","0.0"
"18219226","284","Desconhecido","7145","SP","15","Desconhecido","0.0"
"18219239","1285","Desconhecido","9013","MS","67","Desconhecido","0.0"
"18219252","08","Desconhecido","9701","DF","61","Desconhecido","0.0"
"18219265","466","Desconhecido","7089","SP","16","Desconhecido","0.0"
"18219277","576","Desconhecido","6291","SP","19","Desconhecido","0.0"
"18219288","69","Desconhecido","4959","MG","34","Desconhecido","0.0"
"18219301","129","Desconhecido","1225","PI","89","Desconhecido","0.0"
"18219313","138","Desconhecido","6165","SP","19","Desconhecido","0.0"
"18219324","1457","Desconhecido","7135","SP","16","Desconhecido","0.0"
"14112719","26","Desconhecido","3515","BA","75","Desconhecido","0.0"
"18219347","29","Desconhecido","1621","RN","84","Desconhecido","0.0"
"18219363","560","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18219372","176","Desconhecido","2705","AL","82","Desconhecido","0.0"
"18219382","75","Desconhecido","8175","SC","47","Desconhecido","0.0"
"18219398","2558","Desconhecido","7583","PR","42","Desconhecido","0.0"
"18219412","387","Desconhecido","8801","RS","51","Desconhecido","0.0"
"18219423","43","Desconhecido","6915","SP","19","Desconhecido","0.0"
"18219433","3192","Desconhecido","0023","RO","69","Desconhecido","0.0"
"18219448","4887","Desconhecido","1429","CE","88","Desconhecido","0.0"
"18219462","246","Desconhecido","6181","SP","11","Desconhecido","0.0"
"18219475","1144","Desconhecido","0027","RO","69","Desconhecido","0.0"
