"cnpj_basico","cnae_principal","cep","bairro","municipio","capital_social"
"18108758","00","800","DIREITOS HUMANOS","RUA","0.0"
"18108773","63","SN","TIFA ROWEDER","RUA","0.0"
"18108788","67","375","ARTHUR MAUS","RUA","0.0"
"18108799","01","256","MANOEL REIS DA SILVA","RUA","0.0"
"18108810","00","345","HENRIQUE LENZI","RUA","0.0"
"18108826","01","593","Honorio Fraga - Terreo - Loja B","AVENIDA","0.0"
"18108836","01","35","COMENDADOR GOMES","RUA","0.0"
"18108849","00","707","AIMORES","RUA","0.0"
"18108858","00","1145","VEREADOR NARCISO YAGUE GUIMARAES","AVENIDA","0.0"
"18108870","63","28","JAQUEIRA DO CARNEIRO","RUA","0.0"
"18108880","00","4875","CUIABA","RUA","0.0"
"18108892","63","231","ESPIRITO SANTO","RUA","0.0"
"18108904","63","1022","Dr. Levino Carneiro","RUA","0.0"
"18108916","01","243","DIRCEU GOMES SOARES","RUA","0.0"
"18108931","67","379","RIO GRANDE DO SUL","RUA","0.0"
"18108939","01","205","JOSE AYUSSO","RUA","0.0"
"18108947","00","S/N","N. S.  DA PENHA","SITIO","0.0"
"18108959","67","78","ALVES DE CASTRO","TRAVESSA","0.0"
"18108970","01","056","SALDANHA MARINHO","RUA","0.0"
"18108984","63","42","SAO JORGE","RUA","0.0"
"18108994","01","450","JOAQUIM SERVOLO","RUA","0.0"
"17569176","00","84","DA IGREJA","PRACA","0.0"
"18109020","63","373","SUICA","RUA","0.0"
"18109034","01","178","DIVINO FONSECA","RUA","0.0"
"18109046","00","5058","NOVA CANTAREIRA","AVENIDA","0.0"
"18109060","01","7015","GETULIO VARGAS","AVENIDA","0.0"
"18109073","67","163","JOSE MARQUES DE BARROS","RUA","0.0"
"18109085","01","101","SARGENTO ANANIAS DE OLIVEIRA","RUA","0.0"
"18109095","63","S/N","212 NORTE ALAMEDA 02 LOTE 21","QUADRA","0.0"
"18011949","01","240","SAN MARINO (LOT MOINHOS DE VENTO)","RUA","0.0"
"18109117","01","374","MARIA DOLORES BANDEIRA","RUA","0.0"
"18109133","63","453","LANDULFO ALVES","PRACA","0.0"
"18109143","00","136","OBI LOYOLA","RUA","0.0"
"18109156","00","396","SANTA TEREZINHA","RUA","0.0"
"18109170","00","S/N","CARLOS ROBERTO DE ALBUQUERQUE LIMA","RUA","0.0"
"18109182","67","461","antonio benicio filho","RUA","0.0"
"18109192","00","141","ANTONINO COELHO","RUA","0.0"
"18109205","01","40","L","RUA","0.0"
"18109219","01","29","QUINZE DE NOVEMBRO","RUA","0.0"
"18109230","00","165","JUNQUEIRA AYRES","RUA","0.0"
"18109241","00","290","HENRI DUNANT","RUA","0.0"
"04830481","01","2095","BENJAMIN CONSTANT","RUA","0.0"
"18109267","63","1217","DOS MILITARES","AVENIDA","0.0"
"18109278","00","100","LEONEL FERREIRA VIANNA","RUA","0.0"
"18109288","01","30","DAS GARDENIAS","RUA","0.0"
"18109299","63","306","SAO JOSE DOS PINHAIS","RUA","0.0"
"18107332","00","320","CONSUELO NAVARRO DE BRITO","AVENIDA","0.0"
"18109325","00","235","MONTE SINAI","RUA","0.0"
"18109336","63","1628","BALSAMO","AVENIDA","0.0"
"02776407","01","336","TIVOLI","AVENIDA","0.0"
"18109359","67","3799","PEDRO ALVARES CABRAL","AVENIDA","0.0"
"18109369","01","709","BARAO DO RIO BRANCO","RUA","0.0"
"18109384","00","302","PAISSANDU","RUA","0.0"
"18109395","00","81","RADIALISTA JOSUE POLICARPO","RUA","0.0"
"18109409","67","200","TANCREDO NEVES","RUA","0.0"
"18109424","01","842","ROMAO MARTINS","RUA","0.0"
"18109436","01","2237","RUI BARBOSA","AVENIDA","0.0"
"18109450","00","254","RIO GRANDE DO SUL","AVENIDA","0.0"
"17208651","00","307","JOAO VIEIRA","RUA","0.0"
"17680697","63","05","DO TESOURO","RUA","0.0"
"18109483","67","11","JOAO MIRANDA","RUA","0.0"
"18109495","63","SN","FREI BENJAMIM","AVENIDA","0.0"
"18109507","00","2574","PRESIDENTE GETULIO VARGAS","AVENIDA","0.0"
"16751753","63","52","NOVE DE JULHO","PRACA","0.0"
"18109531","01","130","HARA","RUA","0.0"
"18109544","00","300","BOTAFOGO","PRAIA","0.0"
"18109554","63","03","DOM ROBERTO COLOMBO","PRACA","0.0"
"09139157","01","S/N","ARRAIAL SANTA ISABEL","ESTRADA","0.0"
"18109574","00","S/N","3","RUA","0.0"
"18109588","01","20","ALABANDINA","RUA","0.0"
"18109604","00","653","AV.INTERNACIONAL","RUA","0.0"
"18109618","00","1965","PRUDENTE DE MORAIS","AVENIDA","0.0"
"18109632","00","61","GILBERTO AMADO","AVENIDA","0.0"
"18109643","01","375","ESTADOS UNIDOS (JD NACOES)","RUA","0.0"
"16985493","01","227","LAMARTINE NOGUEIRA","RUA","0.0"
"18109665","00","S/N","BAIRRO DO POMAR DO CARMO KM 10","ESTRADA","0.0"
"18109674","01","252","Ceara","RUA","0.0"
"18109685","00","106","DA FIGUEIRA","RUA","0.0"
"18109697","01","3881 S","OLAVO BILAC","RUA","0.0"
"15567078","01","564","MONSENHOR BERNARDINO","RUA","0.0"
"18109724","00","235","MARECHAL DEODORO","RUA","0.0"
"18109734","01","1357 B","MARCELO CANDIA","RUA","0.0"
"18109749","01","5654","SENADOR TEOTONIO VILELA","AVENIDA","0.0"
"18109761","67","500","DOIS","RUA","0.0"
"18109773","00","497","NAZARENO","RUA","0.0"
"18109787","67","44","JOAO BAGDAD TAU","RUA","0.0"
"18109800","00","1053","AMANTINO RODRIGUES DOS SANTOS","RUA","0.0"
"18109813","01","631","MINISTRO OLIVEIRA SALAZAR","RUA","0.0"
"18109825","01","796","ARTHUR BERNARDES","RUA","0.0"
"18109837","01","245","TENENTE VALMIR ALCANTARA","RUA","0.0"
"18109852","00","79","ANTONIO RODRIGUES","RUA","0.0"
"18109866","63","3561","DOM PEDRO II","AVENIDA","0.0"
"18109879","67","2194","MARTINS ALFENAS","RUA","0.0"
"18109890","63","1652","COMANDANTE ARI PARREIRAS","RUA","0.0"
"18109899","01","520","CANDIDO PORTINARI","RUA","0.0"
"18109911","00","212","ALVARO ANDRADE","RUA","0.0"
"17005339","00","790","SAO PAULO","AVENIDA","0.0"
"18109939","00","SN","DA FRENTE","RUA","0.0"
"13182333","01","76","CORONEL LUIZ INACIO","RUA","0.0"
"18109961","67","15459","SAPOPEMBA","AVENIDA","0.0"
"18109973","01","92","CIDAO","TRAVESSA","0.0"
"18109984","01","001","CINCO","CAMINHO","0.0"
"18109992","01","298","ELIAS THOMAS","RUA","0.0"
"18110004","01","186","Ubaldo Jose da Rocha","RUA","0.0"
"18110019","01","190","DOUTOR VICENTE SALLES GUIMARAES","AVENIDA","0.0"
"18110034","00","476","JOSE BONIFACIO","RUA","0.0"
"18110042","00","41","SANDRO EDUARDO","RUA","0.0"
"18110058","01","447","EVALDO JOAO SCHENKEL","RUA","0.0"
"18110068","00","1000","ANTONIO CORDEIRO DO NASCIMENTO","RUA","0.0"
"18110081","01","205","NILO RUSCHEL","AVENIDA","0.0"
"18110093","00","2128","FARROUPILHA","AVENIDA","0.0"
"18110104","63","77","SABOEIRANA","RUA","0.0"
"18110119","63","S/N","QNO 06 CONJUNTO J","QUADRA","0.0"
"12589512","01","66B","JOSE SOUZA AMORIM","RUA","0.0"
"18110143","00","328","13 DE MAIO","RUA","0.0"
"18110157","00","620","MARANHAO","RUA","0.0"
"18110169","01","18","DO CAMPO","RUA","0.0"
"17186673","00","62","MIGUEL DE CASTRO","RUA","0.0"
"18110193","01","516","PROFESSOR ROBERTO DAVID","RUA","0.0"
"18110202","67","271","ANTENOR PAGLIONE","RUA","0.0"
"18110217","01","712","DORIVAL DE BRITO","AVENIDA","0.0"
"18110230","01","SN","SAO CRISTOVAO","RUA","0.0"
"18110242","00","243","PEDRO DE TOLEDO","RUA","0.0"
"18110255","67","25 27","PADRE ANCHIETA QUADRA","RUA","0.0"
"18110264","63","515","SANTO AMARO","RUA","0.0"
"18110277","63","373","DURVAL RODRIGUES DE OLIVEIRA","RUA","0.0"
"18110290","01","18","VICENTE PELEGRINO","RUA","0.0"
"18110302","01","68","INDAIAL","RUA","0.0"
"18110316","01","153","QUINZE DE NOVEMBRO","PRACA","0.0"
"18110327","01","309","MATOS COSTA","RUA","0.0"
"18110336","01","443","IRENE SALVIATTI LUCATO","RUA","0.0"
"18110349","01","22","santa catarina","RUA","0.0"
"18110364","01","194","TURIBIO GOMES","RUA","0.0"
"02295642","01","S/N","DOS VALOS - QUINDUMBA","FAZENDA","0.0"
"18110385","67","940","TERTULIANO BRITO XAVIER","RODOVIA","0.0"
"18110400","01","358","AVANHANDAVA","RUA","0.0"
"18110410","00","379","ANGELO PASQUALI","RUA","0.0"
"18110422","01","SN","SHA CONJUNTO 1","SETOR","0.0"
"18110431","01","202","PARANA","AVENIDA","0.0"
"18110441","01","03","CELINA DIAS MARTINS","RUA","0.0"
"18110455","00","61","NOSSA SENHORA DAS GRACAS","RUA","0.0"
"18110468","01","389","CAPITAO ALBERTO MENDES JUNIOR","RUA","0.0"
"18110480","67","2988","JULIO BUONO","AVENIDA","0.0"
"18110491","00","15A","JOSE RODRIGUES GOMES","RUA","0.0"
"18110506","67","4","ANTONIO MARIA","RUA","0.0"
"18110520","01","68","GENERAL ANDREA","RUA","0.0"
"18110531","63","1257-A","GOIAS","RUA","0.0"
"16509858","63","570","U","RUA","0.0"
"69122893","00","1032","BELA CINTRA","RUA","0.0"
"17600460","00","150","CONEGO FREDERICO","RUA","0.0"
"18110574","01","230","DOM PEDRO DE ALCANTARA (VL S PEDRO)","AVENIDA","0.0"
"18110587","00","S/N","JATAI - RODOVIA DE GUAIRA A BARRETOS","FAZENDA","0.0"
"18110597","00","79","LUIZ CARDOSO","RUA","0.0"
"18110609","01","25","QNJ 47","CONJUNTO","0.0"
"18110621","01","1058","LAERTES TURRA","RUA","0.0"
"18110632","00","638","RIO GRANDE DO SUL","RUA","0.0"
"18110644","01","500","BOLIVIA","RUA","0.0"
"03503152","01","490","VOLUNTARIOS DA PATRIA","RUA","0.0"
"18110663","01","172","PRESIDENTE VARGAS","AVENIDA","0.0"
"18110675","01","S/N","PEROBA","RUA","0.0"
"18110688","67","240","CARUNA","RUA","0.0"
"18110701","67","27","VARJAO DO TORTO","VILA","0.0"
"18110711","01","246","HENRIQUE PONTARA","RUA","0.0"
"18110724","01","S/N","16","QUADRA","0.0"
"18110737","00","318","LAURO MALCHER","RUA","0.0"
"18110751","00","1634","OSMARINO MEDEIROS","RUA","0.0"
"18110764","00","40","CAMPOS SALES","RUA","0.0"
"18110776","01","105","PROFESSOR ROLANDO ANGELO TENUTO","RUA","0.0"
"18110790","01","S N","SENADOR JOSE CARLOS PEREIRA PINTO","AVENIDA","0.0"
"18110801","01","341","MINISTRO JOAO ALBERTO","RUA","0.0"
"18110813","01","523","FERNANDO DE NORONHA","AVENIDA","0.0"
"18110826","01","297","MARIA ZINTL","RUA","0.0"
"18110839","00","828","PEREIRA LANDIM","RUA","0.0"
"18110851","63","154B","CAPITAO MOR","RUA","0.0"
"18110862","01","174","BONIFACIO DE OLIVEIRA CASSU","RUA","0.0"
"18110876","00","S/N","TO-050 KM 04","RODOVIA","0.0"
"18110888","63","16","JOAQUIM FURTADO, QD 304, CASA B","TRAVESSA","0.0"
"18110900","01","62","MAXIMINO RIBEIRO","RUA","0.0"
"18110911","00","26","X","RUA","0.0"
"18110922","01","SN","ALFREDO NASSER","AVENIDA","0.0"
"18110933","00","25","PIO XII","RUA","0.0"
"18110944","00","73","JOAO DE PAULA PHILBERT","RUA","0.0"
"18110956","01","616","VOLUNTARIOS DA PATRIA","RUA","0.0"
"18110971","01","546","IMPERADOR","AVENIDA","0.0"
"18110984","67","1489","Sao Jose","AVENIDA","0.0"
"18110997","01","557","DOUTOR JOAO EVANGELISTA MONTEIRO LOBATO","RUA","0.0"
"18111014","67","474","DAS SAMAMBAIAS","RUA","0.0"
"18111026","00","49","BARTOLOMEU ZUNEGA","RUA","0.0"
"18111041","63","120","CAPITOLIO","RUA","0.0"
"18111052","00","78","IRACEMA","RUA","0.0"
"18111065","01","339","PROFESSOR ROMEU CERAVOLO","RUA","0.0"
"18111079","01","97","TOCHA","RUA","0.0"
"18111089","01","21","FLORISVALDO VIANA","RUA","0.0"
"18111102","01","340","JOAO MACEDO","RUA","0.0"
"18111114","67","995","SANTA CRUZ","AVENIDA","0.0"
"18111127","00","426 N","NILVI FRIES HENICKA","RUA","0.0"
"18111136","63","360","WOLFRAM METZLER","RUA","0.0"
"18111148","01","800","ANTONIO BARDELLA","AVENIDA","0.0"
"18111158","01","105","JOAQUIM NABUCO","RUA","0.0"
"18111169","01","543","CIVIT","AVENIDA","0.0"
"18111184","00","515","CAFE SUMATRA","RUA","0.0"
"18111197","63","109","PRIMAVERA","AVENIDA","0.0"
"18111208","00","401","ESPIRITO SANTO","RUA","0.0"
"18111222","01","S/N","BA 526","RODOVIA","0.0"
"18111236","01","95","DO TAPANA","ESTRADA","0.0"
"18111248","01","09","CIRENE","TRAVESSA","0.0"
"18111259","63","51","SA URTIGA","CONJUNTO","0.0"
"18111269","63","317","PINDORAMA","RUA","0.0"
"18111282","00","552","MARCILIO DIAS","RUA","0.0"
"09157115","63","120","ANTONIO DOS SANTOS","RUA","0.0"
"18111304","54","394","PALMEIRAS","RUA","0.0"
"18111315","00","28","DA ITAPARICA","PASSEIO","0.0"
"18111326","01","03","FREI CANECA","RUA","0.0"
"18111341","01","354","ANGELO LIVI","RUA","0.0"
"18111355","00","05","CARLOS SODERO","RUA","0.0"
"07954514","00","S/N","CARNAUBA 2","DISTRITO","0.0"
"18111382","01","47","FREDERICO PATARO","RUA","0.0"
"01734826","63","SN","29, LOTE 08","QUADRA","0.0"
"18111407","01","61","WILSON BATISTA","RUA","0.0"
"18111418","01","SN","CELESTE BEZERRA","AVENIDA","0.0"
"18111431","01","5715","ESPARTA","AVENIDA","0.0"
"18111445","00","463","DAS GARDENIAS","RUA","0.0"
"18111455","01","102","PRESIDENTE EPITACIO","RUA","0.0"
"18111462","00","SN","NOSSA SENHORA APARECIDA","SITIO","0.0"
"18111472","01","830","OLAVO BILAC","RUA","0.0"
"18111488","67","18","OURO FINO","RUA","0.0"
"18111499","63","15","MAMORE","RUA","0.0"
"18111509","00","SN","RUA DOS AVIADORES","RUA DE LIGACAO","0.0"
"18111525","00","2490","PAULO ROBERTO VIDAL","AVENIDA","0.0"
"18111539","01","514","TENENTE SILVEIRA","RUA","0.0"
"18111552","63","306","CONSTANCIO VISENTAINER","RUA","0.0"
"18111564","01","106","BANCARIO JOSE GALDINO DA COSTA","RUA","0.0"
"13396534","01","SN","CAMPINAS","RUA","0.0"
"18111587","01","1655","EDMEIA MATTOS LAZZAROTTI","AVENIDA","0.0"
"18111601","01","246","VIRIATO CORREA","RUA","0.0"
"18111610","01","2439","MODESTO PALUDO","AVENIDA","0.0"
"14217321","00","1653","SENADOR JULIO CAMPOS","AVENIDA","0.0"
"18111636","00","135","OTTO LEMKE","RUA","0.0"
"18111648","63","311","ORFANOTROFIO","RUA","0.0"
"18111659","01","360","PORTUGAL","RUA","0.0"
"18111669","63","242","ITALO ADAMI","AVENIDA","0.0"
"18111681","01","694","COCAL","RUA","0.0"
"10809065","00","1150","INDUSTRIAL","AVENIDA","0.0"
"18111699","01","49","La Paz","RUA","0.0"
"18111714","01","239","AIRTON RODRIGUES LEITE","RUA","0.0"
"18111727","01","2100","AYRTON SENNA","AVENIDA","0.0"
"18111739","00","676","VICENCIA MARIA RIBEIRO","RUA","0.0"
"18111753","01","558","CARLOS GOMES","RUA","0.0"
"18111761","01","339","LIMEIRA","RUA","0.0"
"08845749","01","56","JESUS DE OLIVEIRA","RUA","0.0"
"18111786","63","711","PIAU","RUA","0.0"
"18111797","01","77","BARAO DO RIO BRANCO","RUA","0.0"
"18111809","63","2649","Rua Presidente Prudente","RUA","0.0"
"18111820","67","247","JOAO FRANCISCO REGINA","RUA","0.0"
"18111832","01","308","JOSE GONCALVES LUCENA","RUA","0.0"
"18111843","00","73","GINO GARUTI","RUA","0.0"
"18111857","01","827","JOSE MEDINA RODRIGUES","RUA","0.0"
"45939311","01","1307","03 DE MAIO","AVENIDA","0.0"
"08218821","01","1511","MARIA CANDIDA","RUA","0.0"
"18111895","01","105","GALES","AVENIDA","0.0"
"18111908","00","1020","JOSE PILONETO","AVENIDA","0.0"
"18111919","67","50","GOMES DE SOUSA","RUA","0.0"
"18111931","00","1603","CHILE","RUA","0.0"
"18111942","01","1260","DOUTOR JULIO CARDOSO","RUA","0.0"
"18111957","00","110","LADISLAU GALVAO","RUA","0.0"
"18111970","01","1300","AMELIA FRAGA","RUA","0.0"
"08248034","00","4865","NOVE DE JULHO","AVENIDA","0.0"
"18111995","67","2520","VOLUNTARIOS DA PATRIA","RUA","0.0"
"18112009","01","1462","RIO BRANCO","AVENIDA","0.0"
"18112020","01","5427","FIORAVANTE CIELO","RUA","0.0"
"18112034","00","4904","NOVA CANTAREIRA","AVENIDA","0.0"
"18112048","67","361","JOAO ORNALDO RODRIGUES","AVENIDA","0.0"
"18112061","00","103","SAO JOAO BRITO","RUA","0.0"
"18112070","00","750","03 DE OUTUBRO","RUA","0.0"
"18112080","01","41","PEDRO PIRES","RUA","0.0"
"18112093","00","S/N","NOSSA SENHORA APARECIDA","SITIO","0.0"
"18112103","63","01","TUDES CERVEIRA","RUA","0.0"
"12259738","01","105","LEITAO DA SILVA","AVENIDA","0.0"
"17270516","01","2136","NOVE DE JULHO","RUA","0.0"
"18112130","01","1373","BRIGADEIRO LUIS ANTONIO","AVENIDA","0.0"
"18112145","01","241","PRESTES MAIA","AVENIDA","0.0"
"18112159","63","2501","14","RUA","0.0"
"18112168","00","214","LUIZ JOSE MONTESANTI","RUA","0.0"
"18112182","67","451","MINAS GERAIS","RUA","0.0"
"18112194","67","1886","SAO JOAO","TRAVESSA","0.0"
"18112207","01","91","ROGERIO GIMENEZ","RUA","0.0"
"00587811","00","2200","TIRADENTES","AVENIDA","0.0"
